species,individual,leaf,biomass.mg,size.px,size.mm2,comments
MEDFAL,10,2,1.88,9576,69.59302326,
MEDFAL,10,3,2.41,9706,70.5377907,
CYNCRI,1,1,0.82,5774,41.9622093,
CYNCRI,1,2,2.42,13419,97.52180233,
CYNCRI,1,3,1.02,6319,45.92296512,
CYNCRI,2,1,2.37,15465,112.3909884,
CYNCRI,2,2,0.66,5703,41.44622093,
CYNCRI,2,3,1.42,8496,61.74418605,
CYNCRI,3,1,0.57,4525,32.88517442,
CYNCRI,3,2,1.78,23637,171.7805233,
CYNCRI,3,3,1.54,11618,84.43313953,
CYNCRI,4,1,0.84,6874,49.95639535,
CYNCRI,4,2,2.54,19619,142.5799419,
CYNCRI,4,3,1.53,12787,92.92877907,
CYNCRI,5,1,2.17,17413,126.5479651,
CYNCRI,5,2,0.60,6931,50.37063953,
CYNCRI,5,3,1.84,14319,104.0625,
CYNCRI,6,1,2.13,13123,95.37063953,
CYNCRI,6,2,0.58,4535,32.95784884,
CYNCRI,6,3,1.09,8700,63.22674419,
CYNCRI,7,1,0.61,4281,31.1119186,
CYNCRI,7,2,1.68,14170,102.9796512,
CYNCRI,7,3,2.32,14460,105.0872093,
CYNCRI,8,1,2.20,15945,115.8793605,
CYNCRI,8,2,0.68,4653,33.81540698,
CYNCRI,8,3,0.82,7158,52.02034884,
CYNCRI,9,1,0.60,4219,30.66133721,
CYNCRI,9,2,2.21,13777,100.1235465,
CYNCRI,9,3,0.58,4527,32.8997093,
CYNCRI,10,1,0.79,6835,49.67296512,
CYNCRI,10,2,2.55,15470,112.4273256,
CYNCRI,10,3,2.95,24012,174.505814,
DACGLO,1,1,2.70,29968,217.7906977,
DACGLO,1,2,2.63,8767,63.71366279,
DACGLO,1,3,1.20,11098,80.65406977,
DACGLO,2,1,1.39,11030,80.15988372,
DACGLO,2,2,5.48,37948,275.7848837,
DACGLO,2,3,7.62,60974,443.125,
DACGLO,3,1,1.01,11453,83.23401163,
DACGLO,3,2,1.86,15336,111.4534884,
DACGLO,3,3,3.55,26919,195.6322674,
DACGLO,4,1,2.00,21526,156.4389535,
DACGLO,4,2,0.56,7655,55.63226744,
DACGLO,4,3,0.94,14345,104.2514535,
DACGLO,5,1,0.89,7654,55.625,
DACGLO,5,2,3.07,22357,162.4781977,
DACGLO,5,3,2.45,14972,108.8081395,
DACGLO,6,1,0.83,6011,43.68459302,
DACGLO,6,2,2.27,20734,150.6831395,
DACGLO,6,3,2.57,23563,171.2427326,
DACGLO,7,1,2.87,27208,197.7325581,
DACGLO,7,2,1.41,11735,85.28343023,
DACGLO,7,3,4.78,41987,305.1380814,
DACGLO,8,1,3.08,27101,196.9549419,
DACGLO,8,2,6.57,55654,404.4622093,
DACGLO,8,3,2.53,23764,172.7034884,
DACGLO,9,1,1.45,13722,99.72383721,
DACGLO,9,2,3.89,32786,238.2703488,
DACGLO,9,3,2.54,22643,164.556686,
DACGLO,10,1,1.32,9644,70.0872093,
DACGLO,10,2,4.03,33480,243.3139535,
DACGLO,10,3,2.12,14814,107.6598837,
LOTCOR,1,1,2.41,12023,87.37645349,
LOTCOR,1,2,1.93,11142,80.97383721,
LOTCOR,1,3,2.27,13078,95.04360465,
LOTCOR,2,1,2.09,9140,66.4244186,
LOTCOR,2,2,1.96,7666,55.7122093,
LOTCOR,2,3,1.68,7688,55.87209302,
LOTCOR,3,1,1.60,9726,70.68313953,
LOTCOR,3,2,1.73,9512,69.12790698,
LOTCOR,3,3,1.53,9669,70.26889535,
LOTCOR,4,1,1.76,8878,64.52034884,
LOTCOR,4,2,2.17,10394,75.5377907,
LOTCOR,4,3,1.95,11800,85.75581395,
LOTCOR,5,1,1.59,9295,67.55087209,
LOTCOR,5,2,2.25,10859,78.91715116,
LOTCOR,5,3,1.77,8024,58.31395349,
LOTCOR,6,1,1.48,8122,59.02616279,
LOTCOR,6,2,1.03,6577,47.79796512,
LOTCOR,6,3,1.52,7723,56.12645349,
LOTCOR,7,1,1.74,9342,67.89244186,
LOTCOR,7,2,1.53,7616,55.34883721,
LOTCOR,7,3,1.47,8005,58.17587209,
LOTCOR,8,1,1.15,4904,35.63953488,
LOTCOR,8,2,1.18,5420,39.38953488,
LOTCOR,8,3,1.41,7913,57.50726744,
LOTCOR,9,1,1.78,12388,90.02906977,
LOTCOR,9,2,1.68,12525,91.0247093,
LOTCOR,9,3,1.67,11628,84.50581395,
LOTCOR,10,1,1.67,10069,73.17587209,
LOTCOR,10,2,1.40,8880,64.53488372,
LOTCOR,10,3,0.99,7264,52.79069767,
MEDLUP,1,1,5.39,21420,155.6686047,
MEDLUP,1,2,6.78,29410,213.7354651,
MEDLUP,1,3,5.39,28990,210.6831395,
MEDLUP,2,1,7.87,27288,198.3139535,
MEDLUP,2,2,8.03,25409,184.6584302,
MEDLUP,2,3,9.41,35210,255.8866279,
MEDLUP,3,1,5.32,22557,163.931686,
MEDLUP,3,2,4.96,27141,197.2456395,
MEDLUP,3,3,6.20,28674,208.3866279,
MEDLUP,4,1,4.33,15066,109.4912791,
MEDLUP,4,2,5.53,27751,201.6787791,
MEDLUP,4,3,4.24,26886,195.3924419,
MEDLUP,5,1,7.32,25737,187.0421512,
MEDLUP,5,2,9.25,31966,232.3110465,
MEDLUP,5,3,6.93,29788,216.4825581,
MEDLUP,6,1,6.66,23057,167.565407,
MEDLUP,6,2,9.24,32497,236.1700581,
MEDLUP,6,3,8.86,35762,259.8982558,
MEDLUP,7,1,10.51,40315,292.9869186,
MEDLUP,7,2,11.55,30194,219.4331395,
MEDLUP,7,3,15.47,46431,337.434593,
MEDLUP,8,1,8.26,36629,266.1991279,
MEDLUP,8,2,10.44,31959,232.2601744,
MEDLUP,8,3,11.80,40008,290.755814,
MEDLUP,9,1,5.08,22975,166.9694767,
MEDLUP,9,2,6.34,20513,149.0770349,
MEDLUP,9,3,6.85,25991,188.8880814,
MEDLUP,10,1,11.14,33364,242.4709302,
MEDLUP,10,2,6.94,19791,143.8299419,
